line_number,title,label,speaker,gender,year,score,word
12962,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
12963,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,company
12964,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,wrist
12964,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watches
12965,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,people
12965,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,carried
12965,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,pocket
12966,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watches
12966,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,granddaddy
12966,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,wore
12967,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
12967,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,day
12968,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,war
12968,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,duty
12969,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,home
12970,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,grandmother
12970,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
12971,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,wrist
12971,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,ol
12971,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,coffee
12972,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,stayed
12972,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,til
12973,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,grandfather
12973,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,dane
12973,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,coolidge
12974,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,called
12974,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,country
12975,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,overseas
12975,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,fight
12975,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,germans
12976,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,time
12976,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,called
12976,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,world
12977,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,war
12977,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,granddaddy
12978,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,granddad
12978,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,luck
12979,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,dane's
12979,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,luck
12980,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,man's
12980,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,granddad
12981,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,marine
12981,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,killed
12982,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,marines
12982,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,battle
12983,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,wake
