line_number,title,script,label,speaker,gender
21331,Fight Club,"get his hands around Jack's throat, starts BANGING Jack's",other,NO SPEAKER,NA
21332,Fight Club,head against the floor...,other,NO SPEAKER,NA
21333,Fight Club,SECURITY MONITOR P.O.V.,other,NO SPEAKER,NA
21334,Fight Club,"... Jack's got his hands around his own throat, BANGING his",other,NO SPEAKER,NA
21335,Fight Club,"own head against the floor, over and over...",other,NO SPEAKER,NA
21336,Fight Club,INT. MAIN LOBBY,other,NO SPEAKER,NA
21337,Fight Club,"Jack manages to break Tyler's grip, KICKS Tyler away.",other,NO SPEAKER,NA
21338,Fight Club,"Tyler springs to his feet, RUNS, heading for a STAIRCASE.",other,NO SPEAKER,NA
21339,Fight Club,"Jack gets up, breathing hard, holding his head, follows...",other,NO SPEAKER,NA
21340,Fight Club,"ON THE STAIRS, Tyler reaches the LOFT LEVEL, above the",other,NO SPEAKER,NA
21341,Fight Club,"lobby, disappears around a corner.  Jack's right behind,",other,NO SPEAKER,NA
21342,Fight Club,turning the corner -- Tyler's NOT THERE.,other,NO SPEAKER,NA
21343,Fight Club,Jack receives a SHARP SLAP on the back of the head.  He,other,NO SPEAKER,NA
21344,Fight Club,wheels.  Tyler isn't there.  A TAP on his shoulder.  Jack,other,NO SPEAKER,NA
21345,Fight Club,turns around -- WHAM! -- Tyler PUNCHES his face.  Jack falls,other,NO SPEAKER,NA
21346,Fight Club,"against the loft railing.  Tyler comes forward, SWINGS...",other,NO SPEAKER,NA
21347,Fight Club,SECURITY MONITOR P.O.V.,other,NO SPEAKER,NA
21348,Fight Club,Jack PUNCHES himself square in the nose!,other,NO SPEAKER,NA
21349,Fight Club,INT. MAIN LOBBY,other,NO SPEAKER,NA
21350,Fight Club,"Jack's dazed.  Tyler grabs Jack's shirt, pulls him forward,",other,NO SPEAKER,NA
21351,Fight Club,SWINGS HIM -- THROWS him DOWN THE STAIRS...,other,NO SPEAKER,NA
21352,Fight Club,"Jack TUMBLES horribly down... HITS BOTTOM, striking his head",other,NO SPEAKER,NA
21353,Fight Club,on the floor.  Jack PASSES OUT...,other,NO SPEAKER,NA
21354,Fight Club,FADE TO BLACK:,other,NO SPEAKER,NA
21355,Fight Club,INT. LARGE SOCIAL ROOM - TOP FLOOR,other,NO SPEAKER,NA
21356,Fight Club,CLOSE ON: Jack's head jerks back as he SNAPS AWAKE.  He,other,NO SPEAKER,NA
21357,Fight Club,"looks around, trying to focus his eyes...",other,NO SPEAKER,NA
21358,Fight Club,"JACK'S P.O.V. -- TRACKS in the sawdust of the floor, from",other,NO SPEAKER,NA
21359,Fight Club,where his body was dragged across to where he is how.,other,NO SPEAKER,NA
21360,Fight Club,CLOSE ON: Jack tries to comprehend.  He turns his head --,other,NO SPEAKER,NA
21361,Fight Club,"TYLER'S HAND brings the GUN up, PUTS THE GUN IN JACK'S",other,NO SPEAKER,NA
21362,Fight Club,"MOUTH.  Jack freezes, looks around with his eyes...",other,NO SPEAKER,NA
21363,Fight Club,PULL BACK TO:,other,NO SPEAKER,NA
21364,Fight Club,Tyler is seated in Jack's lap.  Tyler holds the gun in,other,NO SPEAKER,NA
21365,Fight Club,"Jack's mouth, his arm around him.  This huge room is being",other,NO SPEAKER,NA
21366,Fight Club,remodeled.  Tyler and Jack are seated near floor-to-ceiling,other,NO SPEAKER,NA
21367,Fight Club,windows affording a spectacular view of the CITY.,other,NO SPEAKER,NA
21368,Fight Club,Tyler looks at his watch.,other,NO SPEAKER,NA
21369,Fight Club,TYLER,character,NO SPEAKER,NA
21370,Fight Club,One minute.,speech,TYLER,male
21371,Fight Club,JACK (V.O.),character,NO SPEAKER,NA
21372,Fight Club,I think this is about where we came,speech,JACK,male
21373,Fight Club,in.,speech,JACK,male
21374,Fight Club,TYLER,character,NO SPEAKER,NA
21375,Fight Club,(looking out window),other,NO SPEAKER,NA
21376,Fight Club,This is the beginning.  We're at,speech,TYLER,male
21377,Fight Club,ground zero.  Maybe you should say a,speech,TYLER,male
21378,Fight Club,"few words, to mark the occasion.",speech,TYLER,male
21379,Fight Club,JACK,character,NO SPEAKER,NA
