title,speaker,line_count,gender,accuracy
One Flew Over the Cuckoo's Nest,DEPUTY SHERIFF,3,male,96
Fight Club,DESK CLERK,5,female,0
Godfather,DETECTIVE,3,unclear,0
Seven,DETECTIVE,7,unclear,0
Fight Club,DETECTIVE STERN,30,male,50
Forrest Gump,DICK CAVETT,6,male,98
Forrest Gump,DICK CLARK,12,male,98
Fight Club,DIFFERENT VOICE,1,unclear,0
Silence of the Lambs,DIRECTOR BURKE,17,male,91
Forrest Gump,DJ,20,male,94
Forrest Gump,DOCTOR,12,unclear,0
The Shawshank Redemption,DOCTOR,1,unclear,0
One Flew Over the Cuckoo's Nest,DOCTOR,5,male,0
Godfather,DON CORLEONE,370,male,96
Godfather,DON TOMMASSINO,32,male,98
Godfather,DON ZALUCHI,27,male,98
Fight Club,DOORMAN,10,male,100
The Matrix,DOZER,6,male,98
Silence of the Lambs,DR. AKIN,6,male,96
Silence of the Lambs,DR. DANIELSON,22,unclear,99
Silence of the Lambs,DR. LECTER,423,male,87
Forrest Gump,DRILL SERGEANT,25,male,96
Godfather,DRIVER,3,male,0
Forrest Gump,DRIVER,2,unclear,0
The Matrix,DUJOUR,5,female,50
The Shawshank Redemption,DUTY GUARD,1,male,0
Inception,EAMES,172,male,100
Forrest Gump,EARL,3,male,99
Pulp Fiction,ED SULLIVAN,17,male,99
Inception,ELDERLY BALD MAN,4,male,
The Shawshank Redemption,ELDERLY GUARD,2,male,0
Inception,ELDERLY JAPANESE MAN,9,male,
Forrest Gump,ELDERLY WOMAN,11,female,
Forrest Gump,ELVIS,16,male,98
Forrest Gump,ELVIS PRESLEY,3,male,92
Forrest Gump,EMCEE,8,male,83
Pulp Fiction,ENGLISH DAVE,18,male,99
Godfather,ENZO,6,male,99
The Shawshank Redemption,ERNIE,4,male,91
Forrest Gump,ERNIE,7,male,91
Pulp Fiction,ESMARELDA,30,female,100
Fight Club,EVERYONE,2,unclear,0
Pulp Fiction,FABIENNE,143,female,98
Godfather,FABRIZZIO,42,male,99
The Shawshank Redemption,FAT-ASS,5,male,78
Seven,FAT MAN,2,male,
Fight Club,FAT MAN,3,male,
Inception,FATHER,5,male,0
The Matrix,FEDEX,1,male,94
Seven,FEMALE COP,2,female,100
The Shawshank Redemption,FEMALE TELLER,1,female,100
Seven,FIRST ATTENDANT,2,unclear,0
Fight Club,FIRST MAN,1,male,
Seven,FIRST THUG,3,male,93
Inception,FISCHER,104,male,70
Fight Club,FLAT-TOP,5,male,89
Fight Club,FLAT-TOP DETECTIVE,2,unclear,0
Inception,FLIGHT ATTENDANT,6,female,75
The Shawshank Redemption,FLOYD,19,male,99
Forrest Gump,FOOTBALL COACH,9,male,0
Silence of the Lambs,FOREMAN,7,male,100
Seven,FORENSIC,4,male,86
Forrest Gump,FORREST,984,male,100
Forrest Gump,FORREST & RECRUITS,1,unclear,100
Forrest Gump,FORREST JR.,9,male,100
Pulp Fiction,FOURTH MAN,2,male,
Fight Club,FRECKLED SPACE MONKEY,7,male,67
Godfather,FREDO,31,male,97
One Flew Over the Cuckoo's Nest,FREDRICKSON,29,male,100
The Matrix,FRIEND #1,1,unclear,0
Pulp Fiction,GAWKER #1,1,female,0
Pulp Fiction,GAWKER #2,5,female,0
Godfather,GENCO,15,male,96
Godfather,GIRL,6,female,
Forrest Gump,GIRL,2,female,
The Matrix,GIZMO,30,unclear,79
Fight Club,GOATEED MAN,1,male,
Forrest Gump,GOVERNOR WALLACE,15,male,99
Inception,GRANDMA,1,female,95
The Shawshank Redemption,GUARD,8,male,0
The Shawshank Redemption,HADLEY,101,male,99
Godfather,HAGEN,261,male,97
The Shawshank Redemption,HAIG,10,male,97
One Flew Over the Cuckoo's Nest,HARDING,168,male,94
One Flew Over the Cuckoo's Nest,HARDING AND CHESWICK,1,unclear,
Fight Club,HARSH VOICE,1,male,100
The Shawshank Redemption,HEYWOOD,91,male,89
Forrest Gump,HIGH SCHOOL COACH,2,male,0
Forrest Gump,HILARY,19,female,80
Pulp Fiction,HONEY BUNNY,18,female,100
Silence of the Lambs,INSTRUCTOR,14,male,0
Fight Club,INTERN,9,male,67
Fight Club,IRVINE,1,male,88
Forrest Gump,ISABEL,4,female,98
Fight Club,JACK,1189,male,97
Fight Club,JACOBS,1,male,79
Silence of the Lambs,JACOBS,2,female,79
Inception,JAMES,5,male,99
Forrest Gump,JENNY,198,female,98
Forrest Gump,JENNY'S DAD,7,male,98
The Shawshank Redemption,JIGGER,10,male,85
Pulp Fiction,JIMMIE,72,male,99
Pulp Fiction,JODY,39,female,59
